idusuario,recomendaciones
"{""Id"":""227""}","[""javascript"",""c#"",""jquery"",""html"",""json"",""python"",""sql"",""html5"",""css"",""git"",""bootstrap"","".net"",""windows"",""eclipse"",""jpa"",""google-maps"",""css3"",""string"",""oracle"",""ubuntu"",""netbeans"",""ruby"",""regex"",""swing"",""unity3d"",""git-commit"",""hibernate"",""primefaces"",""git-push"",""google-chrome"",""plugin"",""github"",""matemáticas"",""plsql"",""oracle-11g"",""oauth"",""jdbc"",""google-app-engine"",""admob"",""rubygems"",""oracle-10g"",""i18n"",""sqldeveloper"",""control-de-versiones"",""knockoutjs"",""hql"",""google-datastore"",""asincrónico"",""jboss"",""importación"",""spring-tool-suite"",""jsfiddle"",""3d"",""git-fork"",""jboss-as-7"",""sqlfiddle"",""depuración"",""scss"",""dukescript"",""jboss-cli"",""thymeleaf"",""svn"",""azul-zulu"",""jboss-eap"",""seam"",""jboss-as"",""objectify"",""subversion"",""webgl"",""primefaces-calendar"",""alfresco"",""java-9"",""coffeescript""]"
"{""Id"":""2224""}","[""php"",""mysql"",""html5"",""ajax"",""array"",""linux"",""laravel"",""google-maps"",""git"",""revisión-de-código"",""regex"",""bash"",""orientación-a-objetos"",""joomla3"",""yii2"",""condiciones"",""xpath"",""ecmascript-2015"",""magento2"",""gpg"",""magento-1.9""]"
"{""Id"":""9897""}","[""android"",""sql"",""bootstrap"",""base-de-datos"",""ios"",""xml"",""jsp"",""cordova"",""seguridad"",""eventos"",""phonegap"",""lenguaje-agnóstico"",""svg"",""local-storage"",""d3.js"",""internacionalización"",""avd"",""arm"",""unidades-de-medición"",""programación-móvil"",""cq5"",""almacenamiento"",""css-transform"",""namespace"",""promises"",""inyección-sql"",""intel-atom"",""data-atributos"",""aem""]"
"{""Id"":""3234""}","[""java"",""android"",""jquery"",""json"",""array"",""ios"",""css3"",""wordpress"",""string"",""swift2"",""swift"",""android-layout"",""xcode"",""http"",""post"",""email"",""variables"",""encriptacion"",""app"",""twig"",""webview"",""casting"",""jquery-validate"",""fecha"",""asincrónico"",""whatsapp"",""uitableviewcontroller"",""uitableview"",""mpdf"",""cabeceras-http"",""segue"",""alamofire"",""uicollectionview"",""cocoapods"",""constraints"",""alamofireimage"",""lang"",""uiview"",""jquery-seat-chart"",""wordpress-theme"",""appdelegate"",""if-else"",""boundary"",""nsstring"",""sha512"",""validate"",""required"",""snapkit"",""nsdata"",""dispatch-async""]"
"{""Id"":""23""}","[""java"",""c++"",""array"",""nodejs"",""xml"",""revisión-de-código"",""visual-studio-2015"",""c++11"",""groovy"",""licencias"",""código-abierto""]"
"{""Id"":""517""}","[""php"",""sql"",""android"",""c#"",""json"",""bootstrap"",""windows"",""css3"",""xml"",""git"",""pdf"",""oracle"",""netbeans"",""ruby"",""formularios"",""java-ee"",""jpa"",""lista"",""stored-procedure"",""unity3d"",""maven"",""primefaces"",""plugin"",""github"",""eventos"",""optimización"",""plsql"",""android-asynctask"",""glassfish"",""oracle-11g"",""map"",""git-commit"",""pdo"",""git-push"",""transacciones"",""jdbc"",""admob"",""rubygems"",""oracle-10g"",""sqldeveloper"",""embebido"",""knockoutjs"",""reflexión"",""lambda"",""hql"",""jboss"",""3d"",""jsfiddle"",""callback"",""git-fork"",""jboss-as-7"",""scss"",""depuración"",""sqlfiddle"",""spring-tool-suite"",""azul-zulu"",""jboss-cli"",""jboss-eap"",""seam"",""jboss-as"",""markdown"",""webgl"",""primefaces-calendar"",""pdfmake"",""dukescript"",""java-9"",""coffeescript"",""union""]"
"{""Id"":""2367""}","[""java"",""c#"",""html"",""sql"",""css"",""json"",""bootstrap"",""windows"",""css3"",""git"",""oracle"",""eclipse"",""netbeans"",""ruby"",""regex"",""swing"",""jpa"",""unity3d"",""maven"",""primefaces"",""plugin"",""github"",""plsql"",""oracle-11g"",""git-commit"",""git-push"",""jdbc"",""admob"",""oracle-10g"",""rubygems"",""i18n"",""sqldeveloper"",""knockoutjs"",""hql"",""jboss"",""importación"",""spring-tool-suite"",""3d"",""jsfiddle"",""git-fork"",""jboss-as-7"",""scss"",""sqlfiddle"",""depuración"",""jboss-cli"",""azul-zulu"",""seam"",""jboss-eap"",""jboss-as"",""webgl"",""primefaces-calendar"",""dukescript"",""java-9"",""coffeescript""]"
"{""Id"":""555""}","[""javascript"",""mysql"",""nodejs"",""regex"",""bash"",""http"",""go"",""vagrant"",""ecmascript-2015"",""makefile"",""docker"",""puppet""]"
"{""Id"":""2832""}","[""javascript"",""php"",""jquery"",""html"",""css"",""bootstrap"",""google-maps"",""aplicación-web"",""formularios"",""funciones"",""bootstrap-carousel"",""cache""]"
"{""Id"":""1839""}","[""php"",""html"",""mysql"",""css"",""array"",""linux"",""google-maps"",""git"",""regex"",""bash"",""orientación-a-objetos"",""joomla3"",""yii2"",""xpath"",""ecmascript-2015"",""magento2"",""magento-1.9"",""gpg""]"
